Taxon_name,Status,MinAge,MaxAge,Site
Anacodon_nexus,Extinct,58.24,58.24,10169.0
Lambertocyon_eximius,Extinct,58.24,58.24,10169.0
Princetonia_yalensis,Extinct,58.24,58.24,10169.0
Phenacodaptes_sabulosus,Extinct,58.24,58.24,10169.0
Ectocion_mediotuber,Extinct,58.24,58.24,10169.0
Ectocion_osbornianus,Extinct,58.24,58.24,10169.0
Phenacodus_primaevus,Extinct,58.24,58.24,10169.0
Phenacodus_vortmani,Extinct,58.24,58.24,10169.0
Anacodon_nexus,Extinct,57.04,57.04,10216.0
Thryptacodon_antiquus,Extinct,57.04,57.04,10216.0
Apheliscus_nitidus,Extinct,57.04,57.04,10216.0
Ectocion_mediotuber,Extinct,57.04,57.04,10216.0
Ectocion_osbornianus,Extinct,57.04,57.04,10216.0
Phenacodus_grangeri,Extinct,57.04,57.04,10216.0
Phenacodus_primaevus,Extinct,57.04,57.04,10216.0
Phenacodus_vortmani,Extinct,57.04,57.04,10216.0
Anacodon_nexus,Extinct,57.04,57.04,10234.0
Aletodon_gunnelli,Extinct,57.04,57.04,10234.0
Haplomylus_simpsoni,Extinct,57.04,57.04,10234.0
Apheliscus_nitidus,Extinct,57.04,57.04,10234.0
Phenacodaptes_sabulosus,Extinct,57.04,57.04,10234.0
Ectocion_osbornianus,Extinct,57.04,57.04,10234.0
Ectocion_parvus,Extinct,57.04,57.04,10234.0
Phenacodus_primaevus,Extinct,57.04,57.04,10234.0
Phenacodus_vortmani,Extinct,57.04,57.04,10234.0
Anacodon_ursidens,Extinct,55.96,55.96,10200.0
Thryptacodon_antiquus,Extinct,55.96,55.96,10200.0
Haplomylus_speirianus,Extinct,55.96,55.96,10200.0
Hyopsodus_latidens,Extinct,55.96,55.96,10200.0
Hyopsodus_minor,Extinct,55.96,55.96,10200.0
Hyopsodus_miticulus,Extinct,55.96,55.96,10200.0
Apheliscus_insidiosus,Extinct,55.96,55.96,10200.0
Apheliscus_wapitiensis,Extinct,55.96,55.96,10200.0
Phenacodus_intermedius,Extinct,55.96,55.96,10200.0
Phenacodus_primaevus,Extinct,55.96,55.96,10200.0
Phenacodus_trilobatus,Extinct,55.96,55.96,10200.0
Phenacodus_vortmani,Extinct,55.96,55.96,10200.0
Anacodon_ursidens,Extinct,54.05,54.05,10202.0
Thryptacodon_antiquus,Extinct,54.05,54.05,10202.0
Hyopsodus_latidens,Extinct,54.05,54.05,10202.0
Hyopsodus_loomisi,Extinct,54.05,54.05,10202.0
Hyopsodus_minor,Extinct,54.05,54.05,10202.0
Hyopsodus_miticulus,Extinct,54.05,54.05,10202.0
Hyopsodus_powellianus,Extinct,54.05,54.05,10202.0
Copecion_brachypternus,Extinct,54.05,54.05,10202.0
Phenacodus_primaevus,Extinct,54.05,54.05,10202.0
Phenacodus_vortmani,Extinct,54.05,54.05,10202.0
Anacodon_ursidens,Extinct,53.42,53.42,10204.0
Chriacus_gallinae,Extinct,53.42,53.42,10204.0
Thryptacodon_antiquus,Extinct,53.42,53.42,10204.0
Hyopsodus_latidens,Extinct,53.42,53.42,10204.0
Hyopsodus_loomisi,Extinct,53.42,53.42,10204.0
Hyopsodus_minor,Extinct,53.42,53.42,10204.0
Hyopsodus_miticulus,Extinct,53.42,53.42,10204.0
Hyopsodus_powellianus,Extinct,53.42,53.42,10204.0
Copecion_brachypternus,Extinct,53.42,53.42,10204.0
Phenacodus_intermedius,Extinct,53.42,53.42,10204.0
Phenacodus_primaevus,Extinct,53.42,53.42,10204.0
Phenacodus_vortmani,Extinct,53.42,53.42,10204.0
Anacodon_ursidens,Extinct,53.42,53.42,10237.0
Thryptacodon_antiquus,Extinct,53.42,53.42,10237.0
Hyopsodus_miticulus,Extinct,53.42,53.42,10237.0
Hyopsodus_powellianus,Extinct,53.42,53.42,10237.0
Hyopsodus_wortmani,Extinct,53.42,53.42,10237.0
Apheliscus_insidiosus,Extinct,53.42,53.42,10237.0
Copecion_brachypternus,Extinct,53.42,53.42,10237.0
Meniscotherium_chamense,Extinct,53.42,53.42,10237.0
Phenacodus_primaevus,Extinct,53.42,53.42,10237.0
Phenacodus_vortmani,Extinct,53.42,53.42,10237.0
Anacodon_ursidens,Extinct,58.63,58.63,10794.0
Thryptacodon_antiquus,Extinct,58.63,58.63,10794.0
Dorraletes_diminutivus,Extinct,58.63,58.63,10794.0
Anacodon_ursidens,Extinct,53.42,53.42,11007.0
Chriacus_gallinae,Extinct,53.42,53.42,11007.0
Thryptacodon_australis,Extinct,53.42,53.42,11007.0
Hyopsodus_miticulus,Extinct,53.42,53.42,11007.0
Hyopsodus_wortmani,Extinct,53.42,53.42,11007.0
Apheliscus_insidiosus,Extinct,53.42,53.42,11007.0
Copecion_brachypternus,Extinct,53.42,53.42,11007.0
Meniscotherium_chamense,Extinct,53.42,53.42,11007.0
Meniscotherium_terraerubrae,Extinct,53.42,53.42,11007.0
Phenacodus_primaevus,Extinct,53.42,53.42,11007.0
Phenacodus_trilobatus,Extinct,53.42,53.42,11007.0
Phenacodus_vortmani,Extinct,53.42,53.42,11007.0
Arctocyon_corrugatus,Extinct,62.22,62.22,10731.0
Arctocyon_ferox,Extinct,62.22,62.22,10731.0
Thryptacodon_australis,Extinct,62.22,62.22,10731.0
Ectocion_cedrus,Extinct,62.22,62.22,10731.0
Arctocyon_ferox,Extinct,59.61,59.61,10166.0
Chriacus_oconostotae,Extinct,59.61,59.61,10166.0
Colpoclaenus_keeferi,Extinct,59.61,59.61,10166.0
Mentoclaenodon_acrogenius,Extinct,59.61,59.61,10166.0
Mimotricentes_fremontensis,Extinct,59.61,59.61,10166.0
Thryptacodon_australis,Extinct,59.61,59.61,10166.0
Aletodon_quadravus,Extinct,59.61,59.61,10166.0
Utemylus_latomius,Extinct,59.61,59.61,10166.0
Ectocion_mediotuber,Extinct,59.61,59.61,10166.0
Ectocion_wyomingensis,Extinct,59.61,59.61,10166.0
Phenacodus_grangeri,Extinct,59.61,59.61,10166.0
Phenacodus_primaevus,Extinct,59.61,59.61,10166.0
Arctocyon_ferox,Extinct,62.52,62.52,10171.0
Litomylus_dissentaneus,Extinct,62.52,62.52,10171.0
Mioclaenus_turgidus,Extinct,62.52,62.52,10171.0
Promioclaenus_lemuroides,Extinct,62.52,62.52,10171.0
Periptychus_carinidens,Extinct,62.52,62.52,10171.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,10171.0
Arctocyon_ferox,Extinct,62.52,62.52,10174.0
Haplaletes_disceptatrix,Extinct,62.52,62.52,10174.0
Promioclaenus_acolytus,Extinct,62.52,62.52,10174.0
Promioclaenus_lemuroides,Extinct,62.52,62.52,10174.0
Arctocyon_ferox,Extinct,62.52,62.52,10176.0
Chriacus_pelvidens,Extinct,62.52,62.52,10176.0
Loxolophus_criswelli,Extinct,62.52,62.52,10176.0
Mimotricentes_subtrigonus,Extinct,62.52,62.52,10176.0
Prothryptacodon_furens,Extinct,62.52,62.52,10176.0
Prothryptacodon_hilli,Extinct,62.52,62.52,10176.0
Haplaletes_disceptatrix,Extinct,62.52,62.52,10176.0
Litomylus_dissentaneus,Extinct,62.52,62.52,10176.0
Litaletes_mantiensis,Extinct,62.52,62.52,10176.0
Promioclaenus_acolytus,Extinct,62.52,62.52,10176.0
Anisonchus_sectorius,Extinct,62.52,62.52,10176.0
Anisonchus_willeyi,Extinct,62.52,62.52,10176.0
Periptychus_carinidens,Extinct,62.52,62.52,10176.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,10176.0
Arctocyon_ferox,Extinct,62.22,62.22,10182.0
Colpoclaenus_keeferi,Extinct,62.22,62.22,10182.0
Mimotricentes_subtrigonus,Extinct,62.22,62.22,10182.0
Protoselene_novissimus,Extinct,62.22,62.22,10182.0
Anisonchus_sectorius,Extinct,62.22,62.22,10182.0
Periptychus_carinidens,Extinct,62.22,62.22,10182.0
Arctocyon_ferox,Extinct,61.61,61.61,10185.0
Arctocyon_montanensis,Extinct,61.61,61.61,10185.0
Chriacus_pelvidens,Extinct,61.61,61.61,10185.0
Desmatoclaenus_mearae,Extinct,61.61,61.61,10185.0
Mentoclaenodon_acrogenius,Extinct,61.61,61.61,10185.0
Mimotricentes_fremontensis,Extinct,61.61,61.61,10185.0
Thryptacodon_demari,Extinct,61.61,61.61,10185.0
Haplaletes_pelicatus,Extinct,61.61,61.61,10185.0
Litomylus_dissentaneus,Extinct,61.61,61.61,10185.0
Promioclaenus_pipiringosi,Extinct,61.61,61.61,10185.0
Protoselene_novissimus,Extinct,61.61,61.61,10185.0
Anisonchus_sectorius,Extinct,61.61,61.61,10185.0
Ectocion_wyomingensis,Extinct,61.61,61.61,10185.0
Phenacodus_bisonensis,Extinct,61.61,61.61,10185.0
Arctocyon_ferox,Extinct,59.61,59.61,10186.0
Chriacus_pelvidens,Extinct,59.61,59.61,10186.0
Mentoclaenodon_acrogenius,Extinct,59.61,59.61,10186.0
Mimotricentes_fremontensis,Extinct,59.61,59.61,10186.0
Thryptacodon_australis,Extinct,59.61,59.61,10186.0
Thryptacodon_demari,Extinct,59.61,59.61,10186.0
Litomylus_dissentaneus,Extinct,59.61,59.61,10186.0
Promioclaenus_pipiringosi,Extinct,59.61,59.61,10186.0
Ectocion_wyomingensis,Extinct,59.61,59.61,10186.0
Phenacodus_bisonensis,Extinct,59.61,59.61,10186.0
Arctocyon_ferox,Extinct,58.24,58.24,10187.0
Thryptacodon_australis,Extinct,58.24,58.24,10187.0
Thryptacodon_demari,Extinct,58.24,58.24,10187.0
Utemylus_latomius,Extinct,58.24,58.24,10187.0
Ectocion_wyomingensis,Extinct,58.24,58.24,10187.0
Arctocyon_ferox,Extinct,59.61,59.61,10209.0
Thryptacodon_australis,Extinct,59.61,59.61,10209.0
Haplaletes_pelicatus,Extinct,59.61,59.61,10209.0
Litomylus_ishami,Extinct,59.61,59.61,10209.0
Ectocion_wyomingensis,Extinct,59.61,59.61,10209.0
Phenacodus_primaevus,Extinct,59.61,59.61,10209.0
Arctocyon_ferox,Extinct,59.61,59.61,10734.0
Chriacus_pelvidens,Extinct,59.61,59.61,10734.0
Colpoclaenus_keeferi,Extinct,59.61,59.61,10734.0
Ectocion_wyomingensis,Extinct,59.61,59.61,10734.0
Arctocyon_ferox,Extinct,59.61,59.61,10793.0
Colpoclaenus_procyonoides,Extinct,59.61,59.61,10793.0
Thryptacodon_australis,Extinct,59.61,59.61,10793.0
Haplaletes_disceptatrix,Extinct,59.61,59.61,10793.0
Litomylus_ishami,Extinct,59.61,59.61,10793.0
Ectocion_wyomingensis,Extinct,59.61,59.61,10793.0
Arctocyon_ferox,Extinct,62.52,62.52,11004.0
Chriacus_baldwini,Extinct,62.52,62.52,11004.0
Chriacus_pelvidens,Extinct,62.52,62.52,11004.0
Deuterogonodon_noletil,Extinct,62.52,62.52,11004.0
Mimotricentes_subtrigonus,Extinct,62.52,62.52,11004.0
Litomylus_aequidens,Extinct,62.52,62.52,11004.0
Litomylus_dissentaneus,Extinct,62.52,62.52,11004.0
Litomylus_osceolae,Extinct,62.52,62.52,11004.0
Mioclaenus_turgidus,Extinct,62.52,62.52,11004.0
Promioclaenus_acolytus,Extinct,62.52,62.52,11004.0
Promioclaenus_lemuroides,Extinct,62.52,62.52,11004.0
Protoselene_opisthacus,Extinct,62.52,62.52,11004.0
Anisonchus_sectorius,Extinct,62.52,62.52,11004.0
Haploconus_angustus,Extinct,62.52,62.52,11004.0
Periptychus_carinidens,Extinct,62.52,62.52,11004.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,11004.0
Arctocyon_ferox,Extinct,62.52,62.52,11005.0
Chriacus_baldwini,Extinct,62.52,62.52,11005.0
Chriacus_pelvidens,Extinct,62.52,62.52,11005.0
Ellipsodon_inaequidens,Extinct,62.52,62.52,11005.0
Mioclaenus_turgidus,Extinct,62.52,62.52,11005.0
Promioclaenus_acolytus,Extinct,62.52,62.52,11005.0
Protoselene_opisthacus,Extinct,62.52,62.52,11005.0
Anisonchus_sectorius,Extinct,62.52,62.52,11005.0
Haploconus_angustus,Extinct,62.52,62.52,11005.0
Periptychus_carinidens,Extinct,62.52,62.52,11005.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,11005.0
Arctocyon_ferox,Extinct,62.52,62.52,11006.0
Chriacus_baldwini,Extinct,62.52,62.52,11006.0
Chriacus_pelvidens,Extinct,62.52,62.52,11006.0
Colpoclaenus_procyonoides,Extinct,62.52,62.52,11006.0
Mimotricentes_subtrigonus,Extinct,62.52,62.52,11006.0
Prothryptacodon_ambiguus,Extinct,62.52,62.52,11006.0
Haplaletes_disceptatrix,Extinct,62.52,62.52,11006.0
Litomylus_aequidens,Extinct,62.52,62.52,11006.0
Litomylus_dissentaneus,Extinct,62.52,62.52,11006.0
Litomylus_osceolae,Extinct,62.52,62.52,11006.0
Ellipsodon_inaequidens,Extinct,62.52,62.52,11006.0
Mioclaenus_turgidus,Extinct,62.52,62.52,11006.0
Promioclaenus_acolytus,Extinct,62.52,62.52,11006.0
Promioclaenus_lemuroides,Extinct,62.52,62.52,11006.0
Protoselene_opisthacus,Extinct,62.52,62.52,11006.0
Anisonchus_sectorius,Extinct,62.52,62.52,11006.0
Periptychus_carinidens,Extinct,62.52,62.52,11006.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,11006.0
Arctocyon_ferox,Extinct,58.24,58.24,11078.0
Chriacus_baldwini,Extinct,58.24,58.24,11078.0
Lambertocyon_eximius,Extinct,58.24,58.24,11078.0
Haplaletes_disceptatrix,Extinct,58.24,58.24,11078.0
Ectocion_collinus,Extinct,58.24,58.24,11078.0
Phenacodus_grangeri,Extinct,58.24,58.24,11078.0
Phenacodus_matthewi,Extinct,58.24,58.24,11078.0
Arctocyon_ferox,Extinct,62.22,62.22,28920.0
Chriacus_punitor,Extinct,62.22,62.22,28920.0
Litomylus_dissentaneus,Extinct,62.22,62.22,28920.0
Litomylus_grandaletes,Extinct,62.22,62.22,28920.0
Gingerichia_hystrix,Extinct,62.22,62.22,28920.0
Ectocion_collinus,Extinct,62.22,62.22,28920.0
Chriacus_katrinae,Extinct,62.52,62.52,10163.0
Chriacus_pelvidens,Extinct,62.52,62.52,10163.0
Mimotricentes_subtrigonus,Extinct,62.52,62.52,10163.0
Haplaletes_disceptatrix,Extinct,62.52,62.52,10163.0
Litomylus_dissentaneus,Extinct,62.52,62.52,10163.0
Litaletes_ondolinde,Extinct,62.52,62.52,10163.0
Promioclaenus_acolytus,Extinct,62.52,62.52,10163.0
Anisonchus_sectorius,Extinct,62.52,62.52,10163.0
Phenacodus_bisonensis,Extinct,62.52,62.52,10163.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,10163.0
Lambertocyon_eximius,Extinct,58.24,58.24,10179.0
Thryptacodon_australis,Extinct,58.24,58.24,10179.0
Thryptacodon_demari,Extinct,58.24,58.24,10179.0
Aletodon_conardae,Extinct,58.24,58.24,10179.0
Litomylus_ishami,Extinct,58.24,58.24,10179.0
Phenacodaptes_sabulosus,Extinct,58.24,58.24,10179.0
Ectocion_wyomingensis,Extinct,58.24,58.24,10179.0
Phenacodus_bisonensis,Extinct,58.24,58.24,10179.0
Thryptacodon_australis,Extinct,59.61,59.61,10215.0
Aletodon_quadravus,Extinct,59.61,59.61,10215.0
Dorraletes_diminutivus,Extinct,59.61,59.61,10215.0
Ectocion_mediotuber,Extinct,59.61,59.61,10215.0
Ectocion_wyomingensis,Extinct,59.61,59.61,10215.0
Phenacodus_grangeri,Extinct,59.61,59.61,10215.0
Litomylus_alphamon,Extinct,58.63,58.63,10737.0
Ectocion_osbornianus,Extinct,58.63,58.63,10737.0
Phenacodus_primaevus,Extinct,58.63,58.63,10737.0
Thryptacodon_australis,Extinct,58.63,58.63,10878.0
Dorraletes_diminutivus,Extinct,58.63,58.63,10878.0
Phenacodus_grangeri,Extinct,58.63,58.63,10878.0
Phenacodus_primaevus,Extinct,58.63,58.63,10878.0
Arctocyon_montanensis,Extinct,62.52,62.52,10164.0
Chriacus_baldwini,Extinct,62.52,62.52,10164.0
Mimotricentes_subtrigonus,Extinct,62.52,62.52,10164.0
Prothryptacodon_hilli,Extinct,62.52,62.52,10164.0
Thryptacodon_orthogonius,Extinct,62.52,62.52,10164.0
Haplaletes_disceptatrix,Extinct,62.52,62.52,10164.0
Litomylus_dissentaneus,Extinct,62.52,62.52,10164.0
Litaletes_disjunctus,Extinct,62.52,62.52,10164.0
Promioclaenus_acolytus,Extinct,62.52,62.52,10164.0
Anisonchus_sectorius,Extinct,62.52,62.52,10164.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,10164.0
Arctocyon_montanensis,Extinct,62.52,62.52,10728.0
Tetraclaenodon_puercensis,Extinct,62.52,62.52,10728.0
Arctocyon_montanensis,Extinct,62.22,62.22,10729.0
Chriacus_baldwini,Extinct,62.22,62.22,10729.0
Chriacus_pelvidens,Extinct,62.22,62.22,10729.0
Colpoclaenus_keeferi,Extinct,62.22,62.22,10729.0
Thryptacodon_orthogonius,Extinct,62.22,62.22,10729.0
Litomylus_dissentaneus,Extinct,62.22,62.22,10729.0
Litomylus_grandaletes,Extinct,62.22,62.22,10729.0
Gingerichia_hystrix,Extinct,62.22,62.22,10729.0
Ectocion_collinus,Extinct,62.22,62.22,10729.0
Arctocyon_montanensis,Extinct,59.61,59.61,10785.0
Chriacus_pelvidens,Extinct,59.61,59.61,10785.0
Mimotricentes_fremontensis,Extinct,59.61,59.61,10785.0
Thryptacodon_demari,Extinct,59.61,59.61,10785.0
Thryptacodon_orthogonius,Extinct,59.61,59.61,10785.0
Litomylus_dissentaneus,Extinct,59.61,59.61,10785.0
Ectocion_collinus,Extinct,59.61,59.61,10785.0
Arctocyon_montanensis,Extinct,62.22,62.22,10787.0
Chriacus_pelvidens,Extinct,62.22,62.22,10787.0
Desmatoclaenus_mearae,Extinct,62.22,62.22,10787.0
Thryptacodon_australis,Extinct,62.22,62.22,10787.0
Arctocyon_mumak,Extinct,59.61,59.61,10175.0
Arctocyon_mumak,Extinct,58.63,58.63,10178.0
Chriacus_baldwini,Extinct,58.63,58.63,10178.0
Lambertocyon_eximius,Extinct,58.63,58.63,10178.0
Thryptacodon_australis,Extinct,58.63,58.63,10178.0
Thryptacodon_demari,Extinct,58.63,58.63,10178.0
Litomylus_ishami,Extinct,58.63,58.63,10178.0
Phenacodaptes_sabulosus,Extinct,58.63,58.63,10178.0
Ectocion_mediotuber,Extinct,58.63,58.63,10178.0
Ectocion_wyomingensis,Extinct,58.63,58.63,10178.0
Phenacodus_primaevus,Extinct,58.63,58.63,10178.0
Carcinodon_aquilonius,Extinct,66.04,66.04,10744.0
